Al2Fe3Si3;ZT value;0.06;unitless;580 K;10.1016/j.intermet.2017.05.019;;;
CoZrGe;ZT value;0.57;dimensionless;900 K;10.1038/s41598-023-48316-w;;;
TiNiSn compound;ZT value;0.72;dimensionless;1000 K;10.1007/s10765-021-02830-z;;;
Silicon nanowires;ZT value;1;dimensionless;200 K;10.1557/jmr.2011.117;;;
Fe2TiSn alloy;ZT value;0.0014;dimensionless;285 K;10.1007/s11664-019-07855-7;;;
ZrNi0.98Cu0.02Sn;ZT value;0.22;unitless;570 K;10.1016/j.jallcom.2004.02.061;;;
TiNiSn (bulk phase);ZT value;0.72;dimensionless;1000 K;10.1007/s10765-021-02830-z;;;
n-type SiGe alloy (nanostructured);ZT value;1.5;dimensionless;1173 K;10.1007/s11664-020-08560-6;;;
SiGe nano-alloy;ZT value;0.94;dimensionless;1123 K;10.1007/s11664-020-08560-6;;;
(Zr0.5;Hf0.5)NiSn;ZT value;0.9;dimensionless;1000 K;10.1557/opl.2011.303;;
Ti2MnNiSi2;ZT value;0.38;dimensionless;700 K;10.1134/S0031918X24603044;;;
Mn0.97Cr0.3Si1.74;ZT value;0.6;unitless;850 K;10.1016/j.jallcom.2013.07.136;;;
n-type Si0.8Ge0.2;ZT value;1;dimensionless;700 °C;10.1007/s11664-015-3761-1;;;
p-type β-FeSi2;ZT value;0.59;dimensionless;1150 K;10.1007/s10854-023-11472-w;;;
Silicon nanocrystals;ZT value;0.7;dimensionless;1200 K;10.1007/s11664-017-6060-1;;;
Ge; Te; S multi-doped CoSb3 (Co4Sb11.25Ge0.05Te0.63S0.07);ZT value;1.1;dimensionless;800 K;10.1007/s11664-012-2288-y;
CoSi;ZT value;0.06;unitless;300 K;10.1016/j.jallcom.2017.01.217;;;
Co2TiSn;ZT value;7.00E-04;dimensionless;800 K;10.1007/s11082-023-04793-x;;;
FeSi;ZT value;0.01;unitless;56 K;10.1016/j.jallcom.2017.01.217;;;
Copper selenide;ZT value;1.2;dimensionless;823 K;10.1007/s00339-024-07851-7;;;
bulk amorphous Si0.65Ge0.35;ZT value;1.09E-03;dimensionless;670 K;10.1007/s11664-018-6103-2;;;
bulk SiGe alloy;ZT value;0.6;dimensionless;1000 K;10.1134/S1995078019040098;;;
Copper;ZT value;0.0001;dimensionless;300 K;10.1134/S2075113316020052;;;
NiFeCrAl alloy;ZT value;0.84;dimensionless;900 K;10.1007/s10948-024-06701-0;;;
MnSi1.77Ge0.027;ZT value;0.61;unitless;823 K;10.1016/j.scriptamat.2017.03.011;;;
Single-crystal tin selenide;ZT value;2.6;dimensionless;923 K;10.1007/s10853-022-07935-w;;;
Si80Ge20;ZT value;0.95;unitless;900 °C;10.1016/j.rser.2013.03.008;;;
Silicon germanium;ZT value;0.11;dimensionless;600 °C;10.1007/s11837-024-06941-4;;;
Silicon (Si);ZT value;0.9;dimensionless;298.15 K;10.1140/epjb/e2015-50673-9;;;
V2FeNiGe2;ZT value;1.33;dimensionless;1000 K;10.1007/s11664-023-10589-2;;;
Copper telluride;ZT value;1.1;dimensionless;1000 K;10.1007/s10854-022-09591-x;;;
Fe2V0.9W0.1Al;ZT value;0.21;dimensionless;400 K;10.1134/S1995078019040049;;;
Si0.68Ge0.32;ZT value;0.34;unitless;820 K;10.1016/j.jcrysgro.2016.02.025;;;
n-type SiGe (nanostructured);ZT value;1.3;dimensionless;1200 K;10.1007/s11664-018-6766-8;;;
p-type SiGe;ZT value;1.148;dimensionless;1504.5 K;10.1007/s11664-018-6766-8;;;
p-type Si0.8Ge0.2;ZT value;0.75;dimensionless;700 °C;10.1007/s11664-015-3761-1;;;
ZrNiSn (undoped);ZT value;0.5;dimensionless;870 K;10.1007/s11664-012-2077-7;;;
Co2TiGa;ZT value;0.015;dimensionless;900 K;10.1007/s00339-023-06744-5;;;
n-type SiGe;ZT value;1.5;dimensionless;900 K;10.1007/s12274-021-3414-7;;;
Mn2.7Cr0.3Si4Al2;ZT value;0.3;dimensionless;573 K;10.1557/opl.2013.117;;;
Si/Ge nanocomposite;ZT value;0.72;dimensionless;1000 K;10.1134/S1995078019040098;;;
MnAl1.73;ZT value;0.65;unitless;873 K;10.1016/j.scriptamat.2016.03.026;;;
SnSi;ZT value;1.47;unitless;450 K;10.1016/j.apsusc.2016.11.105;;;
n-type β-FeSi2;ZT value;0.41;dimensionless;1150 K;10.1007/s10854-023-11472-w;;;
Fe2CoSi;ZT value;0.13;unitless;800 K;10.1016/j.commatsci.2015.07.001;;;
Cu-rich ZrNiSn (2% Cu excess);ZT value;0.81;dimensionless;773 K;10.1557/s43578-024-01456-9;;;
TiFe2Sn alloy;ZT value;0.013;dimensionless;300 K;10.1007/s11661-024-07619-x;;;
SixGe1−x;ZT value;0.5;unitless;900 °C;10.1016/j.rser.2013.03.008;;;
Sn;Se double-doped Cu3SbS4 (Cu3Sb0.92Sn0.08S3.75Se0.25);ZT value;0.67;dimensionless;623 K;10.1007/s40042-023-00798-7;;
Si0.65Ge0.25;ZT value;0.07;dimensionless;490 °C;10.1134/S1063784224020105;;;
Zr0.3Ti0.7NiSn;ZT value;0.6;unitless;673 K;10.1016/j.matlet.2017.05.023;;;
FeSi2;ZT value;0.3;unitless;1000 K;10.1016/j.nanoen.2012.10.005;;;
Si1-xGex;ZT value;0.5;unitless;825 °C;10.1016/j.renene.2014.08.059;;;
(Fe0.7Co0.3)2VAl;ZT value;0.09;unitless;650 K;10.1016/j.jallcom.2009.05.032;;;
Ti2MnNiSi2 alloy;ZT value;0.38;dimensionless;700 K;10.1134/S0031918X24602622;;;
nanostructured Si/Ge thermoelectric material;ZT value;0.2;dimensionless;300 K;10.1557/jmr.2015.256;;;
Si;ZT value;1;unitless;200 K;10.1016/j.scriptamat.2010.11.026;;;
Fe0.95Co0.05Ga3;ZT value;0.05;unitless;400 K;10.1016/j.jallcom.2014.04.117;;;
Co29Ni4Si67;ZT value;0.0164;dimensionless;300 K;10.1134/S0031918X13080085;;;
Silicon-Germanium;ZT value;0.64;dimensionless;1073 K;10.1007/s10854-019-01245-9;;;
Si0.754Ge0.246;ZT value;0;dimensionless;200 K;10.1557/opl.2012.328;;;
MnSi1.73;ZT value;0.37;dimensionless;1150 K;10.1007/s12666-019-01743-8;;;
TiNiSn;ZT value;0.32;dimensionless;873 K;10.1007/s10853-023-08664-4;;;
Mn0.95Cr0.5Si1.74;ZT value;0.6;unitless;850 K;10.1016/j.jallcom.2013.07.136;;;
Tin telluride;ZT value;0.79;dimensionless;873 K;10.1007/s11664-019-07715-4;;;
