Ga;Ag-codoped Bi0.42Sb1.5535Te3;ZT value;1.15;dimensionless;360 K;10.1007/s11664-014-3446-1;;
Ti2MnNiSi2;ZT value;0.38;dimensionless;700 K;10.1134/S0031918X24603044;;;
silver selenide thin films;ZT value;1.2;dimensionless;298.15 K;10.1007/s00339-020-03534-1;;;
Si24;ZT value;0.69;dimensionless;700 K;10.1140/epjb/s10051-021-00251-3;;;
SnGe;ZT value;1.17;unitless;300 K;10.1016/j.apsusc.2016.11.105;;;
p-type TiNiSn;ZT value;0.45;dimensionless;650 K;10.1134/S106378261707020X;;;
Mn0.95Cr0.05Si1.74;ZT value;0.6;unitless;850 K;10.1016/j.jallcom.2013.07.136;;;
p-type β-FeSi2;ZT value;0.59;dimensionless;1150 K;10.1007/s10854-023-11472-w;;;
TiNiSn compound;ZT value;0.72;dimensionless;1000 K;10.1007/s10765-021-02830-z;;;
SiGe nano-alloy;ZT value;0.94;dimensionless;1123 K;10.1007/s11664-020-08560-6;;;
V2FeNiGe2;ZT value;1.33;dimensionless;1000 K;10.1007/s11664-023-10589-2;;;
p-type bismuth antimony telluride;ZT value;0.8;dimensionless;298 K;10.3365/eml.2010.12.177;;;
TiNiSn-based thermoelectric materials;ZT value;0.49;dimensionless;750 K;10.1007/s11664-017-6013-8;;;
Fe0.95Co0.05Ga3;ZT value;0.05;unitless;400 K;10.1016/j.jallcom.2014.04.117;;;
NiFeCrAl alloy;ZT value;0.84;dimensionless;900 K;10.1007/s10948-024-06701-0;;;
MnSi1.75;ZT value;0.62;dimensionless;800 K;10.1007/s11664-012-2415-9;;;
Co2TiGa;ZT value;0.015;dimensionless;900 K;10.1007/s00339-023-06744-5;;;
Single-crystal tin selenide;ZT value;2.6;dimensionless;923 K;10.1007/s10853-022-07935-w;;;
Fe2VAl;ZT value;2.19E-03;unitless;309 K;10.1016/j.jallcom.2014.05.137;;;
MnAl1.73;ZT value;0.65;unitless;873 K;10.1016/j.scriptamat.2016.03.026;;;
Silicon nanowires;ZT value;1;dimensionless;200 K;10.1557/jmr.2011.117;;;
single-crystalline silicon;ZT value;0.01;dimensionless;298.15 K;10.1007/s11664-015-3663-2;;;
(CrSi2)0.90(WSi2)0.10;ZT value;0.29;unitless;750 K;10.1016/j.jallcom.2016.08.185;;;
TiNiSn (bulk phase);ZT value;0.72;dimensionless;1000 K;10.1007/s10765-021-02830-z;;;
Silicon germanium alloy;ZT value;0.96;dimensionless;1000 °C;10.1007/s11837-024-06941-4;;;
Co29Ni4Si67;ZT value;0.0164;dimensionless;300 K;10.1134/S0031918X13080085;;;
Cu;Cl co-doped Bi2S3 (Cu0.01;" 0.175 mol% Cl)";ZT value;0.7;dimensionless;773 K;10.1007/s12598-021-01848-4;
SnSi;ZT value;1.47;unitless;450 K;10.1016/j.apsusc.2016.11.105;;;
n-type Si80Ge20 nanostructured alloy;ZT value;1.5;dimensionless;900 °C;10.1557/opl.2012.1731;;;
Ti2MnNiSi2 alloy;ZT value;0.38;dimensionless;700 K;10.1134/S0031918X24602622;;;
ZrNi1.1Sn;ZT value;0.75;unitless;900 K;10.1016/j.actamat.2014.11.042;;;
ZrNiSn (undoped);ZT value;0.5;dimensionless;870 K;10.1007/s11664-012-2077-7;;;
SiGe (ball milled 2 h;" powder:ball 1:40";" SPS consolidated)";ZT value;0.95;dimensionless;1000 K;10.1007/s11664-018-6334-2;
Silver selenide;ZT value;0.92;dimensionless;300 K;10.1007/s12613-024-2973-x;;;
copper selenide;ZT value;0.14;dimensionless;290 K;10.1038/s41598-017-02944-1;;;
Copper selenide;ZT value;1.2;dimensionless;823 K;10.1007/s00339-024-07851-7;;;
Si80Ge20;ZT value;0.95;unitless;900 °C;10.1016/j.rser.2013.03.008;;;
Si1-xGex;ZT value;0.5;unitless;825 °C;10.1016/j.renene.2014.08.059;;;
Ni;ZT value;0.02;unitless;750 K;10.1016/j.apenergy.2017.02.001;;;
Si0.65Ge0.25;ZT value;0.07;dimensionless;490 °C;10.1134/S1063784224020105;;;
n-type β-FeSi2;ZT value;0.41;dimensionless;1150 K;10.1007/s10854-023-11472-w;;;
Ti-Sn terminated surface;ZT value;0.78;dimensionless;298.15 K;10.1007/s10765-021-02830-z;;;
W;Ge-doped MnSi1.75;ZT value;0.08;dimensionless;325 K;10.1007/s11664-015-3854-x;;
nanostructured Si/Ge thermoelectric material;ZT value;0.2;dimensionless;300 K;10.1557/jmr.2015.256;;;
SiGe-based nanostructured thermoelectric material;ZT value;1.3;dimensionless;1073 K;10.1007/s10854-023-11472-w;;;
V2FeNiGe2 (p-type;" ab initio)";ZT value;1.33;dimensionless;1000 K;10.1007/s11664-023-10589-2;;
TiFe1.9815Mn0.0185Sn;ZT value;0.022;dimensionless;375 K;10.1007/s11661-024-07619-x;;;
undoped famatinite;ZT value;0.14;dimensionless;623 K;10.1007/s40042-024-01044-4;;;
Al;" Mo";" Ge-doped MnSi1.73";ZT value;0.09;dimensionless;325 K;10.1007/s11664-015-3854-x;
V2FeNiGe2 (n-type;" ab initio)";ZT value;0.95;dimensionless;1000 K;10.1007/s11664-023-10589-2;;
Si;ZT value;1;unitless;200 K;10.1016/j.scriptamat.2010.11.026;;;
bismuth telluride-based thermoelectric materials;ZT value;1.47;dimensionless;420 K;10.1007/s10854-023-10490-y;;;
Mn3Si4Al2;ZT value;0.21;dimensionless;773 K;10.1557/jmr.2015.145;;;
(Fe0.7Co0.3)2VAl;ZT value;0.09;unitless;650 K;10.1016/j.jallcom.2009.05.032;;;
FeSi2;ZT value;0.3;unitless;1000 K;10.1016/j.nanoen.2012.10.005;;;
TiFe2Sn alloy;ZT value;0.013;dimensionless;300 K;10.1007/s11661-024-07619-x;;;
Cu-doped ZrNiSn (0.02);ZT value;0.81;dimensionless;775 K;10.1557/s43578-024-01456-9;;;
β-FeSi2-based bulk thermoelectric material;ZT value;0.59;dimensionless;1200 K;10.1007/s10854-023-11472-w;;;
Copper telluride;ZT value;1.1;dimensionless;1000 K;10.1007/s10854-022-09591-x;;;
silicon nanowires;ZT value;0.6;dimensionless;298.15 K;10.1557/mrs.2018.34;;;
Mn0.97Cr0.3Si1.74;ZT value;0.6;unitless;850 K;10.1016/j.jallcom.2013.07.136;;;
Ni-substituted tetrahedrite;ZT value;0.15;dimensionless;340 K;10.3938/jkps.74.967;;;
β-FeSi2;ZT value;0.23;dimensionless;1150 K;10.1007/s12666-019-01743-8;;;
nanostructured Si80Ge20 alloy;ZT value;1.3;dimensionless;900 °C;10.1557/jmr.2011.117;;;
Fe2V0.8W0.2Al;ZT value;5;dimensionless;298.15 K;10.1038/s41586-019-1751-9;;;
silicon germanide;ZT value;1;dimensionless;1173 K;10.1007/s11664-019-07006-y;;;
Fe2V0.9W0.1Al;ZT value;0.21;dimensionless;400 K;10.1134/S1995078019040049;;;
ZrNiSn;ZT value;1.1;dimensionless;1100 K;10.1007/s12598-019-01235-0;;;
Cu-doped TiNiSn (x = 0.05);ZT value;0.58;dimensionless;773 K;10.1557/s43578-024-01456-9;;;
Cu-rich ZrNiSn (2% Cu excess);ZT value;0.81;dimensionless;773 K;10.1557/s43578-024-01456-9;;;
V17Ge31 (vanadium germanide);ZT value;3.70E-03;dimensionless;900 K;10.1007/s11664-015-4036-6;;;
Fe2CoSi;ZT value;0.13;unitless;800 K;10.1016/j.commatsci.2015.07.001;;;
Constantan;ZT value;0.18;dimensionless;1073 K;10.1007/s11664-014-3569-4;;;
Silicon-Germanium alloy (Si0.8Ge0.2);ZT value;0.136;dimensionless;490 °C;10.1134/S1063784224020105;;;
Co2TiAl;ZT value;0.005;dimensionless;900 K;10.1007/s00339-023-06744-5;;;
diamond structure silicon;ZT value;0.07;dimensionless;700 K;10.1140/epjb/s10051-021-00251-3;;;
n-type bulk nano silicon;ZT value;0.7;dimensionless;1275 K;10.1007/s11664-020-07983-5;;;
Silicon-Germanium alloy (Si0.65Ge0.25);ZT value;0.63;dimensionless;490 °C;10.1134/S1063784224020105;;;
Mn2.7Cr0.3Si4Al2;ZT value;0.3;dimensionless;573 K;10.1557/opl.2013.117;;;
Al-doped higher manganese silicide (Mn(AlxSi1−x)1.80;" x=0.0015)";ZT value;0.65;dimensionless;850 K;10.1007/s11664-011-1612-2;;
nanoporous silicon films;ZT value;0.4;dimensionless;300 K;10.1007/s11708-018-0519-5;;;
n-type SiGe alloy (nanostructured);ZT value;1.5;dimensionless;1173 K;10.1007/s11664-020-08560-6;;;
Silicon (Si);ZT value;0.9;dimensionless;298.15 K;10.1140/epjb/e2015-50673-9;;;
Tin telluride;ZT value;0.79;dimensionless;873 K;10.1007/s11664-019-07715-4;;;
Al2Fe3Si3;ZT value;0.06;unitless;580 K;10.1016/j.intermet.2017.05.019;;;
TiNiSn;ZT value;0.32;dimensionless;873 K;10.1007/s10853-023-08664-4;;;
Titanium disulfide;ZT value;0.35;dimensionless;100 °C;10.1007/s10854-021-06914-2;;;
SixGe1−x;ZT value;0.5;unitless;900 °C;10.1016/j.rser.2013.03.008;;;
Cobalt-Silicon Alloy (Co33Si66);ZT value;0.017;dimensionless;300 K;10.1134/S0031918X13080085;;;
CoZrGe;ZT value;0.57;dimensionless;900 K;10.1038/s41598-023-48316-w;;;
NiFeCrAl;ZT value;0.95;dimensionless;298.15 K;10.1007/s10948-024-06701-0;;;
bulk SiGe alloy;ZT value;0.6;dimensionless;1000 K;10.1134/S1995078019040098;;;
diamond silicon;ZT value;0.07;dimensionless;700 K;10.1140/epjb/s10051-021-00251-3;;;
Si0.8Ge0.2;ZT value;1.3;unitless;not specified;10.1016/j.renene.2014.08.059;;;
nano-Si;ZT value;0.7;dimensionless;1275 K;10.1007/s11664-020-07983-5;;;
Co2TiSi;ZT value;5.10E-04;dimensionless;800 K;10.1007/s11082-023-04793-x;;;
p-type SiGe (Silicon germanium);ZT value;1.148;dimensionless;1504.5 K;10.1007/s11664-018-6766-8;;;
Silicon nanocrystals;ZT value;0.7;dimensionless;1200 K;10.1007/s11664-017-6060-1;;;
bulk amorphous Si0.65Ge0.35;ZT value;1.09E-03;dimensionless;670 K;10.1007/s11664-018-6103-2;;;
Fe2TiSn alloy;ZT value;0.0014;dimensionless;285 K;10.1007/s11664-019-07855-7;;;
n-type Si0.8Ge0.2;ZT value;1;dimensionless;700 °C;10.1007/s11664-015-3761-1;;;
ZrNi0.98Cu0.02Sn;ZT value;0.22;unitless;570 K;10.1016/j.jallcom.2004.02.061;;;
Silicon;ZT value;0.01;dimensionless;300 K;10.1038/s41524-023-01162-w;;;
Fe0.94Co0.06Si2.00;ZT value;0.25;unitless;908 K;10.1016/j.jallcom.2006.06.080;;;
porous silicon nanowires;ZT value;1;dimensionless;1000 K;10.1038/s41467-021-24208-3;;;
Fe0.3Co0.7Si;ZT value;4.00E-03;unitless;not specified;10.1016/j.jallcom.2017.01.217;;;
Si/NiSi2 composite films;ZT value;0.13;dimensionless;298.15 K;10.1007/s11664-020-07983-5;;;
TiFe2Sn;ZT value;0.015;dimensionless;300 K;10.1007/s11661-024-07619-x;;;
ZrNiSn (bulk);ZT value;0.2;dimensionless;600 K;10.1007/s11664-015-4205-7;;;
Zr0.3Ti0.7NiSn;ZT value;0.6;unitless;673 K;10.1016/j.matlet.2017.05.023;;;
p-type SiGe;ZT value;1.148;dimensionless;1504.5 K;10.1007/s11664-018-6766-8;;;
Silicon-Germanium;ZT value;0.64;dimensionless;1073 K;10.1007/s10854-019-01245-9;;;
germanene;ZT value;0.41;dimensionless;300 K;10.1186/s11671-019-3113-9;;;
FeSi;ZT value;0.01;unitless;56 K;10.1016/j.jallcom.2017.01.217;;;
Silicon-germanium (SiGe) nano-alloy;ZT value;0.94;dimensionless;1123 K;10.1007/s11664-020-08560-6;;;
SiGe;ZT value;1.3;unitless;900 °C;10.1016/j.pmatsci.2016.07.002;;;
Tin selenide;ZT value;2.6;dimensionless;926 K;10.1007/s10854-021-05807-8;;;
MnSi1.733SiGe;ZT value;0.5;unitless;550 °C;10.1016/j.matchemphys.2010.08.017;;;
MnSi1.73;ZT value;0.37;dimensionless;1150 K;10.1007/s12666-019-01743-8;;;
p-type Si0.8Ge0.2;ZT value;0.75;dimensionless;700 °C;10.1007/s11664-015-3761-1;;;
bulk silicon;ZT value;0.01;dimensionless;300 K;10.1007/s10854-022-09591-x;;;
CoSi;ZT value;0.06;unitless;300 K;10.1016/j.jallcom.2017.01.217;;;
Silicon germanium;ZT value;0.11;dimensionless;600 °C;10.1007/s11837-024-06941-4;;;
Copper;ZT value;0.0001;dimensionless;300 K;10.1134/S2075113316020052;;;
Si0.68Ge0.32;ZT value;0.34;unitless;820 K;10.1016/j.jcrysgro.2016.02.025;;;
Si0.754Ge0.246;ZT value;0;dimensionless;200 K;10.1557/opl.2012.328;;;
Zr2CoSi;ZT value;0.14;dimensionless;1200 K;10.1007/s11664-017-6034-3;;;
